Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO                                                        ;103.908.527,00
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;0,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;288.500,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;90.838.807,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;794.696.611,00
CONTROLADORIA GERAL DO MUNICÍPIO                                                          ;37.468.502,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;0,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;0,00
DISTRIBUIDORA DE FILMES S/A                                                               ;15.810.650,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;44.479.230,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;11.055.308,00
EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO                                               ;104.584.601,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;0,00
EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                                     ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;35.962.073,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;1.868.600.127,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;8.580.479,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;12.419.308,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;20.533.863,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;6.668.505,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;90.103.750,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;9.039.844,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;14.771,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;4.000,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO - FUNPREVI                            ;2.211.094.000,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;0,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;40.000,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;10.239,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;63.150.142,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;57.855,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;0,00
FUNDO MUNICIPAL DE HABITAÇÃO - FMH                                                        ;2.109.060,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;70.389.884,00
