Orgao;Valor Pago;Pago + RP
SECRETARIA MUNICIPAL DE GOVERNO E INTEGRIDADE PÚBLICA                                     ;15.566.137,37;57.679.736,29
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;0,00;264.246,53
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;0,00;652.229,99
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;0,00;1.816.768,14
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;0,00;1.915.805,07
DISTRIBUIDORA DE FILMES S/A - RIOFILME                                                    ;0,00;7.079.205,97
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;279.167.674,54;279.167.674,54
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;2.581.716,94;2.581.716,94
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;30.866.340,28;30.866.340,28
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;7.271.315,35;7.271.315,35
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;66.966.838,50;73.059.721,77
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;0,00;1.616.547,48
SECRETARIA MUNICIPAL DE FAZENDA E PLANEJAMENTO                                            ;603.299.201,92;674.032.534,66
FUNDO ESPECIAL DA DÍVIDA ATIVA                                                            ;0,00;0,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;73.895.550,88;77.684.480,36
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;5.863.948.132,10;6.349.199.483,08
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;253.956.553,59;276.535.427,07
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;0,00;15.667.102,68
SECRETARIA MUNICIPAL DE INFRAESTRUTURA                                                    ;1.065.682.813,69;1.312.049.658,95
SECRETARIA MUNICIPAL DE INFRAESTRUTURA, HABITAÇÃO E CONSERVAÇÃO                           ;0,00;607.710,23
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;0,00;26.993,62
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;260.283.538,43;279.461.576,61
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;99.335.228,31;123.317.090,36
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;160.135.411,65;160.135.411,65
FUNDO MUNICIPAL DE SANEAMENTO BÁSICO                                                      ;0,00;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;32.724.041,61;38.544.697,84
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;59.732.271,40;64.518.430,65
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;0,00;1.083,60
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;8.570.809.431,29;9.454.477.773,66
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOSLTDA                                            ;17.203.386,88;21.337.034,14
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;234.385.390,53;255.375.740,17
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;3.766.358,27;4.339.000,75
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;159.536.114,30;187.120.160,10
FUNDO MUNICIPAL ANTIDROGAS                                                                ;0,00;0,00
FUNDO MUNICIPAL DE SOLIDARIEDADE                                                          ;0,00;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;6.921.039.079,69;7.548.694.270,67
FUNDO EMERGENCIAL DE COMBATE À COVID-19                                                   ;0,00;2.012.064,98
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;1.245.544.694,65;1.350.923.136,23
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;2.462.295,10;2.462.295,10
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;378.525.025,79;386.918.229,69
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;70.805.100,73;78.758.786,87
SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO                                               ;25.453.119,51;27.739.680,70
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;0,00;0,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;0,00;0,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;14.463.815,49;15.347.791,50
SECRETARIA MUNICIPAL DE MEIO AMBIENTE DA CIDADE                                           ;58.468.694,17;63.149.574,36
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;6.698.259,35;7.551.269,52
FUNDAÇÃO PARQUES E JARDINS                                                                ;92.684.919,17;119.107.701,41
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;0,00;27.764.704,28
FUNDO MUNICIPAL DE SANEAMENTO BÁSICO                                                      ;0,00;0,00
SECRETARIA MUNICIPAL DE ESPORTES                                                          ;140.986.499,49;155.575.300,92
FUNDO MUNICIPAL PARA OS ESPORTES                                                          ;0,00;0,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;0,00;3.399,00
