Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;9967107438;10103956936,64
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;206958,64
103 - INCENTIVO A CULTURA                                                                       ;13004848;12199724,55
105 - DOACOES                                                                                   ;0;308264,32
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;62618811;20488738,81
107 - SALARIO EDUCACAO                                                                          ;250698536;249600133,62
108 - CONVENIO REALIZADO                                                                        ;338731826;101131451,67
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;155315336;121207143,13
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;993262485;1100517337,51
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;757249408;0
113 - OUTRAS                                                                                    ;15258510;34820564,33
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;20590906;19205382,03
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;50449279;51628860,77
118 - CONVENIOS A REALIZAR                                                                      ;259995835;0
120 - INSPECAO SANITARIA                                                                        ;11853484;14237608,79
138 - CONVENIOS A REALIZAR - CONTRAPARTIDA                                                      ;5490;0
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;7050684;7372711,12
141 - ROYALTIES DO PETROLEO                                                                     ;172327899;184144618,99
142 - FUNDEB                                                                                    ;1424243073;1517125730,97
143 - HONORARIOS ADVOCATICIOS                                                                   ;14016250;20300443,08
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;4412285;4853520,09
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;105051824;134912419,24
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;14963;22614,64
150 - COSIP                                                                                     ;164684284;177929680,42
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;0;67820266,95
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;32328504;27349717,17
194 - SISTEMA UNICO DE SAUDE                                                                    ;1138085577;1143029880,37
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;4929795;6891497,06
199 - FECMRJ                                                                                    ;4837500;7949810
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;835618777;598396449,26
208 - CONVENIOS                                                                                 ;3397249;1801973,18
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;944883000;977838636,2
266 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS APOS 15/12/1998                                   ;401774000;0
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE 15/12/1998                                    ;515470000;0
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;90159000;106648635,3
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;106089001;100400500,5
270 - CONTRIBUICAO PREVIDENCIARIA PATRONAL                                                      ;0;906267585,51
