Fonte;Valor Previsto;Valor Arrecadado
1500100 - RECURSOS NAO VINCULADOS DE IMPOSTOS                                                       ;19874947124;19228679258,31
1501100 - OUTROS RECURSOS NAO VINCULADOS                                                            ;1999654089;2054417095,24
1501101 - OUTROS RECURSOS NAO VINCULADOS                                                            ;0;2196,75
1501127 - OUTROS RECURSOS NAO VINCULADOS                                                            ;0;231424,92
1501200 - OUTROS RECURSOS NAO VINCULADOS                                                            ;385660347;382240006,45
1502100 - RECURSOS NAO VINCULADOS DA COMPENSACAO DE IMPOSTOS                                        ;0;107855763,36
1540142 - TRANSFERENCIAS DO FUNDEB - IMPOSTOS E TRANSFERENCIAS DE IMPOSTOS                          ;3866790041;3752133789,15
1541142 - TRANSFERENCIAS DO FUNDEB - COMPLEMENTACAO DA UNIAO - VAAF                                 ;0;582524709,33
1543142 - TRANSFERENCIAS DO FUNDEB - COMPLEMENTACAO DA UNIAO - VAAR                                 ;0;37340131,31
1550107 - TRANSFERENCIA DO SALARIO- EDUCACAO                                                        ;455089557;476674179,61
1551114 - TRANSFERENCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA DINHEIRO DIRETO NA ESCOLA (PDDE);30174872;33523839,89
1552115 - TRANSFERENCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR ;88831992;118055976,55
1553113 - TRANSFERENCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ;0;233,23
1569113 - OUTRAS TRANSFERENCIAS DE RECURSOS DO FNDE                                                 ;0;11963026,82
1569116 - OUTRAS TRANSFERENCIAS DE RECURSOS DO FNDE                                                 ;0;1414253,71
1573155 - ROYALTIES DO PETROLEO E GAS NATURAL VINCULADOS A EDUCACAO                                 ;45391471;48226420,88
1599116 - OUTROS RECURSOS VINCULADOS A EDUCACAO                                                     ;320000;0
1600181 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE;0;104265,29
1600194 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE;2381626404;2297015338,99
1601185 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE;3354625;10262962,73
1602188 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE;0;0,94
1604194 - TRANSFERENCIAS PROVENIENTES DO GOVERNO FEDERAL DESTINADAS AO VENCIMENTO DOS AGENTES COMUNI;0;306422268
1605194 - ASSISTENCIA FINANCEIRA DA UNIAO DESTINADA A COMPLEMENTACAO AO PAGAMENTO DOS PISOS SALARIAI;0;73188452,4
1621196 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL          ;345875393;173281325,79
1621198 - TRANSFERENCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL          ;0;694732,9
1631108 - TRANSFERENCIAS DO GOVERNO FEDERAL REFERENTES A CONVENIOS E INSTRUMENTOS CONGENERES VINCULA;0;793175,6
1635156 - ROYALTIES DO PETROLEO E GAS NATURAL VINCULADOS A SAUDE                                    ;14882409;15908546,71
1636108 - OUTRAS TRANSFERENCIAS DE CONVENIOS E INSTRUMENTOS CONGENERES VINCULADOS A SAUDE           ;0;0
1659105 - OUTROS RECURSOS VINCULADOS A SAUDE - DOACOES                                              ;0;89894,54
1659113 - OUTROS RECURSOS VINCULADOS A SAUDE                                                        ;0;2216994,53
1659120 - OUTROS RECURSOS VINCULADOS A SAUDE                                                        ;70337273;65804709,14
1659195 - OUTROS RECURSOS VINCULADOS A SAUDE                                                        ;14411311;17991427,08
1659197 - OUTROS RECURSOS VINCULADOS A SAUDE                                                        ;0;18471634,11
1660139 - TRANSFERENCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTENCIA SOCIAL - FNAS - TRANSFERENCIA C;0;0
1660157 - TRANSFERENCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTENCIA SOCIAL - FNAS - EMENDAS PARLAME;0;0
1660193 - TRANSFERENCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTENCIA SOCIAL - FNAS                  ;26618998;59413902,5
1661193 - TRANSFERENCIA DE RECURSOS DOS FUNDOS ESTADUAIS DE ASSISTENCIA SOCIAL                      ;0;8149664
1665108 - TRANSFERENCIAS DE CONVENIOS E INSTRUMENTOS CONGENERES VINCULADOS A ASSISTENCIA SOCIAL     ;1050000;1150225,8
1669113 - OUTROS RECURSOS VINCULADOS A ASSISTENCIA SOCIAL                                           ;0;382233,86
1700108 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DA UNIAO                    ;129268807;29226266,48
1700139 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DA UNIAO                    ;0;1100000
1700208 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DA UNIAO                    ;436212;670743,61
1700218 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DA UNIAO                    ;1779845;0
1701208 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DOS ESTADOS                 ;0;450000
